Country,CountryCode,Area (km2),Economic Status (World Bank),World Region,EnergyUse_2004 (kg oil equiv per capita),Year,Population,Births,Deaths,GDP ($US),MilitaryExpenditure_2005 (%GDP),Life Expectancy (male),Life Expectancy (female),Infant Deaths (male),Infant Deaths (female)
Virgin Islands (U.S.),VIR,346,High income: nonOECD,Latin America and Caribbean,,2002,108810,1639,629, ,,74.6,82.5,8,6
Uruguay,URY,173620,Upper middle income,Latin America and Caribbean,867.1206506,2002,3367820,52807,31725,12276741120,1.384048371,71.6,78.2,421,319
Vietnam,VNM,325360,Low income,East Asia and Pacific,612.1779751,2002,80908147,1436929,504058,35075432448,,67.3,72.8,21526,19383
Vanuatu,VUT,12200,Lower middle income,East Asia and Pacific,,2002,196178,4871,1618,235110624,,59.9,62.8,155,135
Samoa,WSM,2934,Lower middle income,East Asia and Pacific,,2002,201451,5711,1221,254779488,,67.1,72.7,106,69
Yemen,YEM,527970,Low income,Middle East and North Africa,313.3400107,2002,18718209,809937,173705,9902722048,5.042132976,58.8,62.5,29576,24171
South Africa,ZAF,1219912,Upper middle income,Sub-Saharan Africa,2828.641912,2002,44433622,905113,795362,1.11E+11,1.409596374,45.5,48.1,31229,26734
Congo (Dem. Rep.),ZAR,2267600,Low income,Sub-Saharan Africa,296.4752585,2002,55907453,2526458,648526,5547715072,2.109062981,53.1,57.4,102105,82604
Zambia,ZMB,740724,Low income,Sub-Saharan Africa,604.8496344,2002,10633077,450311,249346,3696721664,,36.5,36.4,22030,23127
Zimbabwe,ZWE,386670,Low income,Sub-Saharan Africa,718.9848407,2002,11926563,342531,259641,21897027584,,40,38.3,10029,8649
Afghanistan,AFG,647500,Low income,South Asia,,2003,27060359,1285367,581257,4584684544,,41.8,42.2,114526,102560
Albania,ALB,27398,Lower middle income,Europe and Central Asia,760.0298227,2003,3526642,53323,17351,5617335296,1.4132621,74.1,79.9,673,561
Algeria,DZA,2381740,Lower middle income,Middle East and North Africa,1016.609065,2003,31713719,581630,146835,68018606080,2.815593944,71,74,11133,8264
American Samoa,ASM,199,Upper middle income,East Asia and Pacific,,2003,57844,1495,199, ,,71.8,79.2,8,7
Andorra,ADO,468,High income: nonOECD,Europe and Central Asia,,2003,69150,667,397, ,,80.6,86.6,2,1
Angola,AGO,1246700,Lower middle income,Sub-Saharan Africa,612.5222716,2003,11057090,512054,291907,13956268032,5.042401356,35.7,37.2,54159,44616
Antigua and Barbuda,ATG,443,High income: nonOECD,Latin America and Caribbean,,2003,67897,1238,383,754333312,,69,73.8,16,10
Argentina,ARG,2736690,Upper middle income,Latin America and Caribbean,1660.476009,2003,38740807,676802,293655,1.30E+11,0.969284549,71.7,79.4,6296,4641
Armenia,ARM,28400,Lower middle income,Europe and Central Asia,703.5483755,2003,3001712,33469,24254,2807060992,2.718621804,67.5,75,548,292
Aruba,ABW,193,High income: nonOECD,Latin America and Caribbean,,2003,93716,1214,709, ,,70.8,76.8,14,7
Australia,AUS,7617930,High income: OECD,East Asia and Pacific,5762.29345,2003,19731984,247636,144241,5.44E+11,1.778029926,77.3,83.1,664,532
Austria,AUT,82444,High income: OECD,Europe and Central Asia,4059.843175,2003,8162656,73546,76974,2.56E+11,0.73543392,76,81.8,218,128
Azerbaijan,AZE,86100,Lower middle income,Europe and Central Asia,1558.798073,2003,7924123,136136,66880,7275766272,2.012377705,60.5,69.2,5315,3712
The Bahamas,BHS,10070,High income: nonOECD,Latin America and Caribbean,,2003,297477,5524,2582,5502000128,0.650755194,62.3,69.2,91,54
Bahrain,BHR,665,High income: nonOECD,Middle East and North Africa,10469.11235,2003,667238,12691,2662,9699460096,,71.3,76.2,140,96
Bangladesh,BGD,133910,Low income,South Asia,163.6969911,2003,138448210,4139601,1194808,51824156672,1.137690936,61.5,61.2,139256,134289
Barbados,BRB,431,High income: nonOECD,Latin America and Caribbean,,2003,276761,3628,2466,2679212288,,70.2,74.2,25,19
Belarus,BLR,207600,Lower middle income,Europe and Central Asia,2725.439794,2003,9905210,88553,143229,17825435648,1.244738826,62.8,75,410,275
Belgium,BEL,30278,High income: OECD,Europe and Central Asia,5536.256815,2003,10330824,110746,105271,3.10E+11,1.239520631,75.1,81.6,308,227
Belize,BLZ,22806,Upper middle income,Latin America and Caribbean,,2003,267787,8157,1500,987649984,,66.5,70.7,126,92
Benin,BEN,110620,Low income,Sub-Saharan Africa,302.6705448,2003,7230693,294795,93927,3557983488,,50.9,53.2,13401,11545
Bermuda,BMU,53,High income: nonOECD,North America,,2003,64482,782,481, ,,75.4,79.5,4,3
Bhutan,BTN,47000,Lower middle income,South Asia,,2003,2139549,74499,28820,610661376,,53.9,53.2,3876,3923
Bolivia,BOL,1084390,Lower middle income,Latin America and Caribbean,552.5557925,2003,8586443,219212,67919,8082396672,1.872527226,62.2,67.5,6700,5587
Bosnia and Herzegovina,BIH,51129,Lower middle income,Europe and Central Asia,1203.229382,2003,4243181,37128,28429,7731799040,1.755904409,75.5,82.9,185,124
Botswana,BWA,585370,Upper middle income,Sub-Saharan Africa,1054.803426,2003,1712268,42362,29537,8279921152,2.453672834,45.8,44.2,1016,915
Brazil,BRA,8456510,Upper middle income,Latin America and Caribbean,1113.828357,2003,182032604,3216516,1115860,5.52E+11,1.417634742,67.2,75.3,58669,43423
Brunei,BRN,5270,High income: nonOECD,East Asia and Pacific,7369.690473,2003,347260,7258,1142,4738204672,,72.4,76.4,66,43
Bulgaria,BGR,110550,Upper middle income,Europe and Central Asia,2434.262948,2003,7588399,73076,108135,19985645568,2.35060963,67.8,75.3,978,636
Burkina Faso,BFA,273800,Low income,Sub-Saharan Africa,,2003,12705775,591581,210916,4181865216,1.336649433,46.2,49,31268,25482
Burma (Myanmar),MMR,657740,Low income,East Asia and Pacific,282.8574506,2003,45628897,866949,441688,4473231872,,58.6,63.4,29040,20792
Burundi,BDI,25650,Low income,Sub-Saharan Africa,,2003,7251827,311103,105151,595002944,0.006017581,48.7,49.8,11712,9110
Cambodia,KHM,176520,Low income,East Asia and Pacific,,2003,13074337,338625,112701,4593170944,1.782630309,57.7,61.9,13022,9910
Cameroon,CMR,469440,Lower middle income,Sub-Saharan Africa,433.290314,2003,16489008,617019,233979,13621809152,1.322008267,49.7,51,24632,20102
Canada,CAN,9093507,High income: OECD,North America,8410.641158,2003,32207113,353956,245096,8.55E+11,1.139443837,76.4,83.4,968,759
Cape Verde,CPV,4033,Lower middle income,Sub-Saharan Africa,,2003,412137,11107,2827,797314304,,66.5,73.2,315,246
Cayman Islands,CYM,262,High income: nonOECD,Latin America and Caribbean,,2003,41934,559,197, ,,77.1,82.3,3,2
Central African Republic,CAF,622984,Low income,Sub-Saharan Africa,,2003,4112104,144746,77924,1195285632,1.1244808,43.1,43.7,7094,6032
Chad,TCD,1259200,Low income,Sub-Saharan Africa,,2003,8745740,414810,157773,2722627840,0.837520952,45.6,47.7,24377,20746
Chile,CHL,748800,Upper middle income,Latin America and Caribbean,1732.344361,2003,15662645,252325,88807,73986400256,3.666722173,72.9,79.6,1301,1046
China,CHN,9326410,Lower middle income,East Asia and Pacific,1241.629999,2003,1291496022,16789448,8924238,1.64E+12,1.974242495,70.1,73.3,200045,243868
Colombia,COL,1038700,Lower middle income,Latin America and Caribbean,624.6313097,2003,41801905,902085,234509,79410839552,3.711013865,67.3,75.1,12257,8374
Comoros,COM,2170,Low income,Sub-Saharan Africa,,2003,633272,24381,5585,324471488,,59,63.5,1088,847
Congo (Dem. Rep.),ZAR,2267600,Low income,Sub-Saharan Africa,296.4752585,2003,57722115,2581910,654569,5673197568,2.109062981,53.5,57.8,102147,82614
Congo (Rep.),COG,341500,Lower middle income,Sub-Saharan Africa,273.7611407,2003,3412576,149232,48083,3564177664,,50.2,52.2,7381,6290
Costa Rica,CRI,50660,Upper middle income,Latin America and Caribbean,869.9665674,2003,3896092,75584,16792,17514295296,,73.9,79.1,444,354
Cote d'Ivoire,CIV,318000,Low income,Sub-Saharan Africa,387.5918027,2003,16595981,601770,251595,13734139904,,45.7,50.8,33959,22686
Croatia,HRV,56414,Upper middle income,Europe and Central Asia,1985.212195,2003,4497779,42504,50510,29609080832,1.577248181,69.6,78.3,159,143
Cuba,CUB,110860,Lower middle income,Latin America and Caribbean,950.290285,2003,11246676,139796,79289, ,,74.1,78.6,526,383
Cyprus,CYP,9240,High income: nonOECD,Europe and Central Asia,3534.739119,2003,771657,9854,5888,13171951616,,74.9,79.7,47,27
Czech Republic,CZE,77276,High income: OECD,Europe and Central Asia,4460.403983,2003,10251087,93285,108149,91357724672,1.777419484,72.3,79,210,164
Denmark,DNK,42394,High income: OECD,Europe and Central Asia,3716.412182,2003,5394138,63705,57394,2.14E+11,1.373307284,75,79.6,154,145
Djibouti,DJI,22980,Lower middle income,Middle East and North Africa,,2003,457130,18642,8891,627556672,,41.8,44.5,1086,908
Dominica,DMA,754,Upper middle income,Latin America and Caribbean,,2003,71734,1162,620,258185200,,71.9,77.7,12,6
Dominican Republic,DOM,48380,Lower middle income,Latin America and Caribbean,821.0510805,2003,8815160,213679,48043,16324636672,0.602979438,70.2,73.5,3778,3171
East Timor,TMP,14609,Low income,East Asia and Pacific,,2003,997853,27690,6396,335700000,,63,67.5,811,587
Ecuador,ECU,276840,Lower middle income,Latin America and Caribbean,773.1604579,2003,13074082,309725,56088,28635908096,2.414431487,73,78.8,4821,3031
Egypt,EGY,995450,Lower middle income,Middle East and North Africa,783.0294511,2003,74760580,1820420,393241,82923683840,2.804085392,67.9,73,33899,28960
El Salvador,SLV,20720,Lower middle income,Latin America and Caribbean,663.5179999,2003,6475623,180605,38271,15046700032,0.624484501,67,74.4,2660,2014
Equatorial Guinea,GNQ,28051,Upper middle income,Sub-Saharan Africa,,2003,506800,18665,7511,2966370048,,48.4,52.5,959,813
Eritrea,ERI,121320,Low income,Sub-Saharan Africa,,2003,4470145,159763,46445,584022336,,56.1,59,4539,3398
Estonia,EST,43211,High income: nonOECD,Europe and Central Asia,3835.43787,2003,1350722,13061,18019,9592494080,1.484147549,65.3,77.1,64,44
Ethiopia,ETH,1119683,Low income,Sub-Saharan Africa,302.7265124,2003,69628079,2780945,1077146,8029585920,3.048844388,47.3,49.7,153400,120690
Faroe Islands,FRO,1399,High income: nonOECD,Europe and Central Asia,,2003,46345,640,403, ,,75.4,82.4,2,2
Fiji,FJI,18270,Lower middle income,East Asia and Pacific,,2003,868531,20028,4951,2181084416,,66.4,71.4,151,116
Finland,FIN,304473,High income: OECD,Europe and Central Asia,7285.76069,2003,5204405,55323,49858,1.62E+11,1.214911211,74.7,81.8,111,89
France,FRA,640053,High income: OECD,Europe and Central Asia,4546.659083,2003,62206254,794996,559234,1.80E+12,2.485462717,76.1,83.1,1648,1254
French Polynesia,PYF,3660,High income: nonOECD,East Asia and Pacific,,2003,262300,4653,1151, ,,73.1,78,23,16
Gabon,GAB,257667,Upper middle income,Sub-Saharan Africa,1242.722951,2003,1331419,48757,15471,6054886400,1.334529284,54.5,57.8,1649,1123
Gambia,GMB,10000,Low income,Sub-Saharan Africa,,2003,1503179,61420,19541,367172064,0.343702573,51.3,55,2579,2086
Georgia,GEO,69700,Lower middle income,Europe and Central Asia,625.9433141,2003,4710921,47015,41739,3991374592,3.14087863,72.1,79.2,566,380
Germany,DEU,349223,High income: OECD,Europe and Central Asia,4217.787406,2003,82398326,708626,851999,2.44E+12,1.354231499,75.5,81.5,1702,1295
Ghana,GHA,230940,Low income,Sub-Saharan Africa,385.6088417,2003,21111483,685912,215548,7624196608,0.746560785,57,58.6,22131,18194
Greece,GRC,130800,High income: OECD,Europe and Central Asia,2754.717834,2003,10625945,103390,106472,1.76E+11,4.483997785,76.3,81.4,336,257
Greenland,GRL,410449,High income: nonOECD,Europe and Central Asia,,2003,56385,907,432, ,,65.4,72.7,8,7
Grenada,GRD,344,Upper middle income,Latin America and Caribbean,,2003,89258,2041,666,443759264,,62.7,66.3,15,15
Guam,GUM,541,High income: nonOECD,East Asia and Pacific,,2003,163593,3215,705, ,,74.8,81,14,10
Guatemala,GTM,108430,Lower middle income,Latin America and Caribbean,615.6264188,2003,11725208,366295,66130,24881262592,0.414328041,66.8,70.2,6897,5564
Guinea,GIN,245857,Low income,Sub-Saharan Africa,,2003,9020431,383278,143425,3624443392,,47.9,50.4,19369,16720
Guinea-Bissau,GNB,28000,Low income,Sub-Saharan Africa,,2003,1359917,52221,23132,235097312,,44.4,48.3,3220,2578
Guyana,GUY,196850,Lower middle income,Latin America and Caribbean,,2003,761181,14265,6432,741929344,,62.1,67.3,284,217
Haiti,HTI,27560,Low income,Latin America and Caribbean,262.2832728,2003,7929753,288247,94285,2999896576,,52.7,55.3,11026,9278
Honduras,HND,111890,Lower middle income,Latin America and Caribbean,547.5058124,2003,6843018,209533,35721,6868016128,0.637029614,67.6,70.9,3356,2471
Hong Kong,HKG,1042,High income: nonOECD,East Asia and Pacific,2487.577369,2003,6809738,49098,39701,1.58E+11,,78.6,84.2,81,65
Hungary,HUN,92340,Upper middle income,Europe and Central Asia,2607.574071,2003,10057745,98063,132058,84418797568,1.312566908,68,76.5,476,386
Iceland,ISL,100250,High income: OECD,Europe and Central Asia,11975.50881,2003,291064,4057,1880,10792258560,0,78.2,82.2,7,6
India,IND,2973190,Low income,South Asia,530.5545572,2003,1057504419,25834833,7878408,6.02E+11,2.872983219,63.8,68.1,690620,477631
Indonesia,IDN,1826440,Lower middle income,East Asia and Pacific,799.8713242,2003,223069671,4742461,1409800,2.35E+11,0.921233921,66.5,71.5,103861,71183
Iran,IRN,1636000,Lower middle income,Middle East and North Africa,2166.451867,2003,63988372,986061,377531,1.35E+11,4.464694043,67,69.6,21931,21002
Iraq,IRQ,432162,Lower middle income,Middle East and North Africa,1083.488176,2003,24683313,830840,144151,12602492928,,66.7,69,26116,19713
Ireland,IRL,68890,High income: OECD,Europe and Central Asia,3737.541324,2003,3924023,56702,31274,1.57E+11,0.568766648,74.5,80,181,137
Isle of Man,IMY,572,High income: nonOECD,Europe and Central Asia,,2003,74261,845,853,2264913408,,74.6,81.5,3,2
Israel,ISR,20330,High income: nonOECD,Middle East and North Africa,3048.871904,2003,6116533,114196,37923,1.10E+11,7.92497824,77,81.2,476,366
Italy,ITA,294020,High income: OECD,Europe and Central Asia,3170.761474,2003,57998353,532425,586943,1.51E+12,1.771540085,76.5,82.5,1870,1426
Jamaica,JAM,10831,Lower middle income,Latin America and Caribbean,1540.878123,2003,2688706,59474,17261,8286787584,0.714497526,71.8,75.2,538,473
Japan,JPN,374744,High income: OECD,East Asia and Pacific,4173.360049,2003,127357744,1151314,1012494,4.23E+12,0.974068909,78.4,85.3,1849,1490
Jordan,JOR,91971,Lower middle income,Middle East and North Africa,1232.325142,2003,5460265,129299,14306,10195391488,7.667088507,75.4,80.5,1501,938
Kazakhstan,KAZ,2669800,Upper middle income,Europe and Central Asia,3651.46636,2003,15107581,230995,146997,30833657856,1.064093351,60.2,71.2,4353,3023
Kenya,KEN,569250,Low income,Sub-Saharan Africa,505.5676836,2003,33041785,1331254,420622,14638888960,1.422740544,51.9,51.7,45010,40510
Kiribati,KIR,811,Lower middle income,East Asia and Pacific,,2003,98549,3079,850,59666644,,58,64,89,69
North Korea,PRK,120410,Low income,East Asia and Pacific,910.1681504,2003,22466481,395635,155693, ,,68.1,73.6,5557,4595
South Korea,KOR,98190,High income: OECD,East Asia and Pacific,4430.85308,2003,48202264,493591,264148,6.08E+11,2.569103821,73,80.2,1773,1445
Kuwait,KWT,17820,High income: nonOECD,Middle East and North Africa,10211.69119,2003,2183161,47658,5349,47832211456,5.740206947,75.7,77.6,282,222
Kyrgyz Republic,KGZ,191300,Low income,Europe and Central Asia,545.868463,2003,5019150,109668,36389,1919012736,,63.5,71.7,2449,1722
Laos,LAO,230800,Low income,East Asia and Pacific,,2003,5921545,218683,73368,2138132224,,52.3,56.3,11027,8423
Latvia,LVA,63589,Upper middle income,Europe and Central Asia,1988.074025,2003,2322943,20233,32033,11186452480,1.692554602,66,75.6,118,80
Lebanon,LBN,10230,Upper middle income,Middle East and North Africa,1361.197571,2003,3730926,73350,23318,19798341632,,69.7,74.6,1114,858
Lesotho,LSO,30355,Lower middle income,Sub-Saharan Africa,,2003,2107433,56268,47333,1039233280,2.345892373,40.1,40,3022,1826
Liberia,LBR,96320,Low income,Sub-Saharan Africa,,2003,2811524,130117,71553,410200000,,35.2,39.9,12664,10119
Libya,LBY,1759540,Upper middle income,Middle East and North Africa,3169.430475,2003,5499074,150840,19192,23822413824,,73.9,78.3,2254,1789
Liechtenstein,LIE,160,High income: nonOECD,Europe and Central Asia,,2003,33145,362,227, ,,75.6,82.9,1,1
Lithuania,LTU,65200,Upper middle income,Europe and Central Asia,2665.921866,2003,3620094,30300,40400,18557906944,1.797750379,67.5,78.7,140,84
Luxembourg,LUX,2586,High income: OECD,Europe and Central Asia,10480.99142,2003,456764,5655,3860,28988487680,0.931985169,75.2,81.9,14,14
Macau,MAC,28,High income: nonOECD,East Asia and Pacific,,2003,441487,3346,1815,7795311616,,79.1,84.9,8,7
Macedonia,MKD,24856,Lower middle income,Europe and Central Asia,1327.75767,2003,2035145,24300,17930,4629520384,2.204231884,70.8,75.8,135,125
Madagascar,MDG,581540,Low income,Sub-Saharan Africa,,2003,17239524,681651,160672,5473940480,,58.8,62.5,23657,19239
Malawi,MWI,94080,Low income,Sub-Saharan Africa,,2003,12389488,537704,254232,1764480896,,41,39.8,28019,25235
Malaysia,MYS,328550,Upper middle income,East Asia and Pacific,2279.018461,2003,23092940,547303,118236,1.04E+11,1.897871517,69,74.5,6209,4190
Maldives,MDV,300,Lower middle income,South Asia,,2003,329684,12103,2522,692437504,,62.1,64.6,369,359
Mali,MLI,1220000,Low income,Sub-Saharan Africa,,2003,10814982,547454,194778,4362442240,1.858214058,46,49.5,34203,27670
Malta,MLT,316,High income: nonOECD,Middle East and North Africa,2262.646399,2003,395178,3952,3106,4855587840,0.732759056,76.3,80.8,9,7
Marshall Islands,MHL,181,Lower middle income,East Asia and Pacific,,2003,56448,1930,282,128063000,,67.5,71.4,35,26
Mauritania,MRT,1030400,Low income,Sub-Saharan Africa,,2003,2912584,122795,37980,1285179136,0.973023031,49.8,54.1,4760,4302
Mauritius,MUS,2030,Upper middle income,Sub-Saharan Africa,,2003,1210447,19488,8243,5248142336,0.199426554,67.8,75.8,187,127
Mayotte,MYT,374,Upper middle income,Sub-Saharan Africa,,2003,178428,7647,1490, ,,58.5,62.8,281,226
Mexico,MEX,1923040,Upper middle income,Latin America and Caribbean,1621.512914,2003,103718062,2268314,490586,6.39E+11,0.390117136,71.9,77.6,28356,22658
Micronesia,FSM,702,Lower middle income,East Asia and Pacific,,2003,108143,2863,552,230400000,,67.4,71,52,41
Moldova,MDA,33371,Lower middle income,Europe and Central Asia,862.1282645,2003,4356387,42388,47659,1980901504,0.306221181,65.3,72.9,371,288
Monaco,MCO,2,High income: nonOECD,Europe and Central Asia,,2003,32130,304,412, ,,75.4,83.4,1,1
Mongolia,MNG,1564116,Low income,East Asia and Pacific,,2003,2784084,58048,18013,1290559232,,63.3,68,1544,1280
Montenegro,MNE,13812,Upper middle income,Europe and Central Asia,,2003,713614,8342,5702,1574111872,,73.9,78.9,50,42
Morocco,MAR,446300,Lower middle income,Middle East and North Africa,383.7972928,2003,31689265,737092,183164,43813302272,4.284340751,67.8,72.4,18364,14709
Mozambique,MOZ,784090,Low income,Sub-Saharan Africa,441.2600546,2003,19383077,785015,389406,4789382144,1.317419961,41.8,42.2,49795,42978
Namibia,NAM,825418,Lower middle income,Sub-Saharan Africa,665.4220901,2003,1993482,54582,33231, ,3.019146278,46,46.1,1502,1263
Nepal,NPL,143181,Low income,South Asia,340.5264965,2003,26469569,859202,260461,5869858816,1.969962486,59.4,58.6,30012,30622
Netherlands,NLD,33883,High income: OECD,Europe and Central Asia,5045.347545,2003,16223248,189488,140818,5.38E+11,1.585309276,76,81.2,559,424
Netherlands Antilles,ANT,960,High income: nonOECD,Latin America and Caribbean,9498.534859,2003,216324,3407,1365, ,,73.2,77.7,20,17
New Caledonia,NCL,18575,High income: nonOECD,East Asia and Pacific,,2003,210798,4100,1187, ,,70.6,76.6,18,15
New Zealand,NZL,268021,High income: OECD,East Asia and Pacific,4344.314768,2003,3951307,55871,29793,80846004224,1.006914923,75.3,81.4,199,140
Nicaragua,NIC,120254,Lower middle income,Latin America and Caribbean,643.392981,2003,5253603,137224,24167,4102112000,0.687667478,67.7,71.8,2452,1832
Niger,NER,1266700,Low income,Sub-Saharan Africa,,2003,11469579,591027,248660,2731417856,,43,43,37465,34865
Nigeria,NGA,910768,Low income,Sub-Saharan Africa,717.3059493,2003,122790463,5045460,2157428,58294370304,0.878368411,45.7,46.8,279698,234939
Northern Mariana Islands,MNP,477,Upper middle income,East Asia and Pacific,,2003,76129,1517,177, ,,72.9,78.2,6,5
Norway,NOR,307442,High income: OECD,Europe and Central Asia,6023.802524,2003,4555400,55211,43641,2.23E+11,1.646461036,76.5,81.8,118,90
Oman,OMN,212460,Upper middle income,Middle East and North Africa,4667.218924,2003,2807125,105183,11144,21592717312,,70.4,74.9,1292,918
Pakistan,PAK,778720,Low income,South Asia,489.0857705,2003,152943245,4631121,1350489,82343215104,3.341719415,61.3,63.1,182318,173723
Palau,PLW,458,Upper middle income,East Asia and Pacific,,2003,19717,375,138,122728000,,66.4,72.8,3,3
Panama,PAN,75990,Upper middle income,Latin America and Caribbean,801.1705152,2003,3039748,66388,15594,12933199872,,72.6,78,644,518
Papua New Guinea,PNG,452860,Low income,East Asia and Pacific,,2003,5295816,164541,40407,3526588928,0.533933118,62.1,66.4,4987,4036
Paraguay,PRY,397300,Lower middle income,Latin America and Caribbean,694.3571531,2003,6041339,181905,28636,4608189440,0.753255582,71.9,77,3259,2269
Peru,PER,1280000,Lower middle income,Latin America and Caribbean,478.8408959,2003,27158869,588533,171916,61494304768,1.249968989,67.2,70.7,11001,9003
Philippines,PHL,298170,Lower middle income,East Asia and Pacific,542.3868432,2003,84619974,2225505,473872,79633580032,0.815543553,66.4,72.3,31797,23796
Poland,POL,304465,Upper middle income,Europe and Central Asia,2402.742639,2003,38602853,361323,365955,2.17E+11,1.788377144,70.7,78.8,1506,1182
Portugal,PRT,91951,High income: OECD,Europe and Central Asia,2528.003209,2003,10479955,114756,107944,1.55E+11,2.146607082,73.9,80.7,337,260
Puerto Rico,PRI,8870,High income: nonOECD,Latin America and Caribbean,,2003,3877881,50800,28347, ,,74.1,82.2,280,206
Qatar,QAT,11437,High income: nonOECD,Middle East and North Africa,23246.44501,2003,817052,12811,3620,23533791232,,70.7,75.8,155,102
Romania,ROM,230340,Upper middle income,Europe and Central Asia,1778.427781,2003,22380273,238798,260283,59507347456,2.107639009,67.4,74.6,3840,2863
Russia,RUS,16995800,Upper middle income,Europe and Central Asia,4459.742085,2003,144307852,1476269,2365206,4.31E+11,3.740991038,58.5,72,10823,7955
Rwanda,RWA,24948,Low income,Sub-Saharan Africa,,2003,8897149,359445,149739,1683772928,2.171725518,45,46.6,17994,15470
Samoa,WSM,2934,Lower middle income,East Asia and Pacific,,2003,203890,5774,1229,307317696,,67.4,73,103,68
San Marino,SMR,61,High income: nonOECD,Europe and Central Asia,,2003,28119,295,221, ,,77.9,85.3,1,1
Sao Tome and Principe,STP,1001,Low income,Sub-Saharan Africa,,2003,175883,7364,1251,99414504,,64.8,67.8,180,159
Saudi Arabia,SAU,2149690,High income: nonOECD,Middle East and North Africa,6232.450109,2003,25156630,751932,68174,2.15E+11,8.197012629,73.1,77,6267,4395
Senegal,SEN,192000,Low income,Sub-Saharan Africa,241.6143528,2003,11218320,440543,131815,6409812480,1.506590207,53.9,56.6,15516,13247
Serbia,SRB,88361,Upper middle income,Europe and Central Asia,,2003,10109579,122831,108577,21071290368,,71.5,76.6,1012,731
Seychelles,SYC,455,Upper middle income,Sub-Saharan Africa,,2003,80469,1359,522,20666034176,1.736285802,65.8,76.9,14,8
Sierra Leone,SLE,71620,Low income,Sub-Saharan Africa,,2003,5564299,260687,133321,989662400,1.116185961,37.4,41.6,24108,18913
Singapore,SGP,683,High income: nonOECD,East Asia and Pacific,6034.007028,2003,4276788,41784,16851,92349636608,4.68474885,78.9,84.2,54,41
Slovakia,SVK,48800,Upper middle income,Europe and Central Asia,3406.627418,2003,5416406,56818,51673,32977047552,1.736758967,69.9,78.1,266,179
Slovenia,SVN,20151,High income: nonOECD,Europe and Central Asia,3590.886492,2003,2011604,17783,20277,28069314560,1.665939881,71.9,79.7,48,33
Solomon Islands,SLB,27540,Low income,East Asia and Pacific,,2003,509190,16523,2098,231483216,,69.6,74.7,220,158
Somalia,SOM,627337,Low income,Sub-Saharan Africa,,2003,8025190,372529,141564, ,,45.7,49,24480,20350
South Africa,ZAF,1219912,Upper middle income,Sub-Saharan Africa,2828.641912,2003,44481901,877628,856721,1.67E+11,1.409596374,44.5,46,30158,25747
Spain,ESP,499542,High income: OECD,Europe and Central Asia,3330.932395,2003,40217413,405392,381261,8.81E+11,1.031711007,75.9,82.8,1030,810
Sri Lanka,LKA,64740,Lower middle income,South Asia,484.9964032,2003,20097485,368186,115762,18246402048,2.654091428,72.2,76.1,4345,3516
St. Kitts and Nevis,KNA,261,Upper middle income,Latin America and Caribbean,,2003,38763,715,343,365114816,,68.8,74.6,6,5
St. Lucia,LCA,606,Upper middle income,Latin America and Caribbean,,2003,162157,3394,850,715662976,,69.5,76.9,27,22
St. Vincent and the Grenadines,VCT,389,Upper middle income,Latin America and Caribbean,,2003,116812,2004,710,382222208,,71.3,74.9,17,14
Sudan,SDN,2376000,Low income,Sub-Saharan Africa,496.5235469,2003,36592664,1351001,563527,17780301824,,47.1,48.8,66722,64082
Suriname,SUR,161470,Lower middle income,Latin America and Caribbean,,2003,449931,8850,2497,1020027008,,69.5,75,124,80
Swaziland,SWZ,17203,Lower middle income,Sub-Saharan Africa,,2003,1135657,33388,29482,1906464000,,33.9,36.8,1329,1168
Sweden,SWE,410934,High income: OECD,Europe and Central Asia,5998.335853,2003,8970306,94906,93471,3.04E+11,1.556828724,78,82.5,143,120
Switzerland,CHE,39770,High income: OECD,Europe and Central Asia,3671.791364,2003,7408319,73342,62378,3.23E+11,0.964936213,77.4,83.2,188,140
Syria,SYR,184050,Lower middle income,Middle East and North Africa,992.511524,2003,17585540,519477,88631,22396829696,,68.2,70.7,8518,7934
Tajikistan,TJK,142700,Low income,Europe and Central Asia,515.6650061,2003,6567848,182323,55301,1554054912,,58.3,64.5,5738,4326
Tanzania,TZA,886037,Low income,Sub-Saharan Africa,499.8666418,2003,36198785,1413563,557823,10282803200,1.030188988,46.6,48.4,60658,48610
Thailand,THA,511770,Lower middle income,East Asia and Pacific,1524.029212,2003,63271021,897816,434672,1.43E+11,1.145243954,69,73.9,10506,8815
Togo,TGO,54385,Low income,Sub-Saharan Africa,448.8693102,2003,5114524,191590,52680,1758946944,1.575856347,54.3,58.5,7122,5400
Tonga,TON,718,Lower middle income,East Asia and Pacific,,2003,108141,2651,599,163140992,,66.4,71.4,20,15
Trinidad and Tobago,TTO,5128,High income: nonOECD,Latin America and Caribbean,8675.124317,2003,1093146,13817,10822,10691108864,,65.5,68.2,205,170
Tunisia,TUN,155360,Lower middle income,Middle East and North Africa,876.2232693,2003,9873149,157674,49563,24992239616,1.490499206,72.8,76.2,2436,1787
Turkey,TUR,770760,Upper middle income,Europe and Central Asia,1151.163567,2003,68109469,1198046,405251,2.40E+11,3.225682441,69.4,74.3,29356,23598
Turkmenistan,TKM,488100,Lower middle income,Europe and Central Asia,3264.786113,2003,4768664,127848,31187,5977541120,,63.9,70.3,4308,3456
Uganda,UGA,199710,Low income,Sub-Saharan Africa,,2003,26321962,1260822,396409,6249732608,,47,47.6,49018,42631
